id,name,class,mark,gender
1,Aadvik,Four,75,Male
2,,Three,,male
3,Arnold,Three,55,male
4,Krish Star,Four,60,female
5,John Mike,Four,60,female
3,Arnold,Three,55,male
7,MyJohn Rob,Fifth,78,male
5,John Mike,Four,60,female
9,Tes Qry,,78,male
10,,Four,,female
11,Ronald,Six,89,
5,John Mike,Four,60,female
13,Kty,Seven,88,female
14,Bigy,Seven,88,female
1,Aadvik,Four,75,Male
16,Gimmy,Four,88,male
17,Tumyu,Six,54,male
18,Honny,Five,75,male
19,Tinny,Nine,18,male
20,Jackly,Nine,65,female
16,Gimmy,Four,88,male
22,Reggid,Seven,55,female
23,Herod,Eight,79,male
16,Gimmy,Four,88,male
25,Giff Tow,Seven,88,male
26,,Seven,79,male
27,Big Nose,Three,81,female
28,Rojj Base,Seven,86,female
29,Tess Played,Seven,55,
30,Reppy Red,,79,female
31,Marry Toeey,Four,88,male
32,Binn Rott,Seven,90,female
33,Kenn Rein,Six,96,female
34,Gain Toe,Seven,69,male
35,,Six,,female
